airport_id	airport_name	city	country	airport_iata	airport_icao	latitude	longitude
6272	Horn Island Airport	Horn Island	Australia	HID	YHID	-10.586400032	142.289993286
6273	Hooker Creek Airport	Hooker Creek	Australia	HOK	YHOO	-18.3367004395	130.638000488
6274	Mount Hotham Airport	Mount Hotham	Australia	MHU	YHOT	-37.0475006104	147.333999634
6275	Hughenden Airport	Hughenden	Australia	HGD	YHUG	-20.8150005341	144.2250061035
6276	Julia Creek Airport	Julia Creek	Australia	JCK	YJLC	-20.6683006287	141.7230072021
6277	Kalbarri Airport	Kalbarri	Australia	KAX	YKBR	-27.692813	114.259169
6278	King Island Airport	King Island	Australia	KNS	YKII	-39.8774986267	143.8780059814
6279	Kalkgurung Airport	Kalkgurung	Australia	KFG	YKKG	-17.4319000244	130.8079986572
6280	Karumba Airport	Karumba	Australia	KRB	YKMB	-17.4566993713	140.8300018311
6281	Kowanyama Airport	Kowanyama	Australia	KWM	YKOW	-15.4856004715	141.7510070801
6282	Kubin Airport	Kubin	Australia	KUG	YKUB	-10.2250003815	142.218002319
6283	Leonora Airport	Leonora	Australia	LNO	YLEO	-28.8780994415	121.3150024414
6284	Lake Evella Airport	Lake Evella	Australia	LEL	YLEV	-12.4989004135	135.8059997559
6285	Lord Howe Island Airport	Lord Howe Island	Australia	LDH	YLHI	-31.5382995605	159.07699585
6286	Lockhart River Airport	Lockhart River	Australia	IRG	YLHR	-12.7869	143.304993
6287	Lismore Airport	Lismore	Australia	LSY	YLIS	-28.8302993774	153.259994507
6288	Lightning Ridge Airport	Lightning Ridge	Australia	LHG	YLRD	-29.4566993713	147.9839935303
6289	Longreach Airport	Longreach	Australia	LRE	YLRE	-23.4342002869	144.279998779
6290	Leinster Airport	Leinster	Australia	LER	YLST	-27.8432998657	120.7030029297
6291	Laverton Airport	Laverton	Australia	LVO	YLTN	-28.6135997772	122.4240036011
6292	Mabuiag Island Airport	Mabuiag Island	Australia	UBB	YMAA	-9.9499998093	142.1829986572
6293	Meekatharra Airport	Meekatharra	Australia	MKR	YMEK	-26.611700058	118.547996521
6294	Merimbula Airport	Merimbula	Australia	MIM	YMER	-36.9085998535	149.901000977
6295	Milingimbi Airport	Milingimbi	Australia	MGT	YMGB	-12.0944004059	134.893997192
6296	Maningrida Airport	Maningrida	Australia	MNG	YMGD	-12.0560998917	134.23399353
6297	McArthur River Mine Airport	McArthur River Mine	Australia	MCV	YMHU	-16.4424991608	136.083999634
6298	Mildura Airport	Mildura	Australia	MQL	YMIA	-34.2291984558	142.085998535
6299	Mount Magnet Airport	Mount Magnet	Australia	MMG	YMOG	-28.1161003113	117.8420028687
6300	Moree Airport	Moree	Australia	MRZ	YMOR	-29.4988994598	149.845001221
6301	Moranbah Airport	Moranbah	Australia	MOV	YMRB	-22.057800293	148.07699585
6302	Moruya Airport	Moruya	Australia	MYA	YMRY	-35.8978004456	150.143997192
