airline_id	airline_name	country	airline_iata	airline_icao	alias
5265	US Airways	United States	US	USA	null
5268	US Helicopter	United States	null	USH	null
5271	UTair Aviation	Russia	UT	UTA	null
5279	United States Air Force	United States	null	AIO	null
5281	Uzbekistan Airways	Uzbekistan	HY	UZB	null
5282	Ukraine International Airlines	Ukraine	PS	AUI	null
5284	US Helicopter Corporation	United States	UH	null	null
5297	Valuair	Singapore	VF	VLU	null
5301	Vasco Air	Vietnam	null	VFC	null
5309	Vietnam Airlines	Vietnam	VN	HVN	null
5311	VIM Airlines	Russia	NN	MOV	null
5325	Volaris	Mexico	Y4	VOI	null
5326	Volga-Dnepr Airlines	Russia	VI	VDA	null
5331	Virgin America	United States	VX	VRD	null
5333	Virgin Express	Belgium	TV	VEX	null
5335	Virgin Nigeria Airways	Nigeria	VK	VGN	null
5347	Virgin Atlantic Airways	United Kingdom	VS	VIR	null
5350	Viva Macau	Macao	ZG	VVM	null
5351	Volare Airlines	Italy	VE	VLE	null
5352	Vueling Airlines	Spain	VY	VLG	null
5353	Vladivostok Air	Russia	XF	VLK	null
5354	Varig Log	Brazil	LC	VLO	null
5360	Virgin Australia	Australia	VA	VOZ	null
5368	VRG Linhas Aereas	Brazil	RG	VRN	Varig
5373	VASP	Brazil	VP	VSP	null
5383	VLM Airlines	Belgium	VG	VLM	null
5397	Wayraper	Peru	7W	null	null
5399	WebJet Linhas A	Brazil	WJ	WEB	null
5401	Welcome Air	Austria	2W	WLC	null
5411	West Coast Air	Canada	8O	null	null
5416	WestJet	Canada	WS	WJA	null
5424	Western Airlines	United States	WA	WAL	null
5439	Widerøe	Norway	WF	WIF	null
5447	Wind Jet	Italy	IV	JET	null
5451	Wings Air	Indonesia	IW	WON	null
5461	Wizz Air	Hungary	W6	WZZ	null
5462	Wizz Air Hungary	Bulgaria	8Z	WVL	null
5465	World Airways	United States	WO	WOA	null
5479	XL Airways France	France	SE	SEU	null
5484	Xiamen Airlines	China	MF	CXA	null
5492	Yamal Airlines	Russia	YL	LLM	null
5496	Yemenia	Yemen	IY	IYE	null
5501	Yuzhmashavia	Ukraine	null	UMK	null
5510	Zanair	Tanzania	null	TAN	null
5523	Zoom Airlines	Canada	Z4	OOM	null
5559	Maldivian Air Taxi	Maldives	8Q	null	null
5584	Sky Express	Russia	XW	SXR	SkyExpress
5651	Royal Air Cambodge	Cambodia	VJ	RAC	null
5813	Air Mandalay	Burma	6T	null	null
5982	Air Busan	Republic of Korea	BX	ABL	null
6196	Globus	Russia	GH	GLP	null
6222	Air Kazakhstan	Kazakhstan	9Y	KZK	null
6557	Japan Air System	Japan	JD	JAS	null
6855	EasyJet (DS)	Switzerland	DS	null	null
8359	Star Peru (2I)	Peru	2I	null	null
8461	Carnival Air Lines	United States	KW	null	null
8463	United Airways	Bangladesh	4H	UBD	null
8576	Fly540	Kenya	5H	FFV	null
8745	Transavia France	France	TO	TVF	null
8809	Island Air (WP)	United States	WP	MKU	null
9082	Uni Air	Taiwan	B7	UIA	null
9135	Gomelavia	Belarus	YD	null	null
9239	Red Wings	Russia	WZ	RWZ	Avialinii 400
9335	TUIfly (X3)	Germany	11	null	null
9343	Felix Airways	Yemen	FU	FXX	null
9344	Kostromskie avialinii	Russia	K1	KOQ	null
9373	Greenfly	Spain	XX	GFY	null
9531	Tajik Air	Tajikistan	7J	null	null
9541	Air Mozambique	Mozambique	TM	null	null
9577	ELK Airways	Estonia	--	ELK	null
9620	Gabon Airlines	Gabon	GY	GBK	null
9626	MCA Airlines	Sweden	null	MCA	null
9656	Maldivo Airlines	Maldives	ML	MAV	null
9666	Virgin Pacific	Fiji	VH	VNP	null
9764	Zest Air	Philippines	Z2	null	null
9784	Yangon Airways	Burma	HK	null	null
9809	Eastar Jet	South Korea	ZE	ESR	null
9810	Jin Air	South Korea	LJ	JNA	null
9811	Wataniya Airways	Kuwait	null	KW1	null
9818	Air Arabia Maroc	Morocco	3O	null	null
9825	Baltic Air lines	Latvia	B1	BA1	null
9828	Ciel Canadien	Canada	YC	YCC	null
9829	Canadian National Airways	Canada	CN	YCP	null
9833	Epic Holiday	United States	FA	4AA	Epic Holidays
9838	Indochina Airlines	Vietnam	null	AXC	null
9851	Air Comet Chile	Chile	3I	null	null
9859	German Air Force - FLB	Germany	null	FLB	null
10114	Line Blue	Germany	L8	LBL	null
10117	FlyLAL Charters	Lithuania	null	LLC	null
10122	Salzburg arrows	Austria	SZ	null	SZA
10123	Texas Wings	United States	TQ	TXW	null
10128	Dennis Sky	Israel	DH	DSY	Dennis Sky Holding
10224	Zz	Belgium	ZZ	null	null
10226	Atifly	United States	A1	A1F	null
10371	Aerolineas heredas santa maria	Dominican Republic	null	SZB	null
10372	Ciao Air	Italy	99	null	null
10642	Jc royal.britannica	United Kingdom	null	JRB	null
10650	Pal airlines	Chile	5P	null	null
10673	CanXpress	Canada	C1	CA1	null
10674	Danube Wings (V5)	Slovakia	V5	null	null
10675	Sharp Airlines	Australia	SH	SHA	null
