"actor_id","actor_name"
"5031","Bill Thompson"
"5032","Sujin Kim"
"5033","Spike Lee"
"5034","Michelle Gunn"
"5035","Christian Cooke"
"5036","Douglas Smith"
"5037","Mario Brega"
"5038","Ingetraud Hinze"
"5039","Paul McCrane"
"5040","Jack Holt"
"5041","Giuseppe Sanfelice"
"5042","Jeff Roop"
"5043","Keri Russell"
"5044","Irene Dunne"
"5045","Kate Dickie"
"5046","Bryce Johnson"
"5047","Hisako Kyôda"
"5048","Rajendranath Zutshi"
"5049","Othon Bastos"
"5050","Rita Hayworth"
"5051","Sidede Onyulo"
"5052","Marilyn Joi"
"5053","Yasuo Yamada"
"5054","Janine Darcey"
"5055","Gregory Berns"
"5056","Siu Tin Yuen"
"5057","Michael Naegel"
"5058","Robert Manuel"
"5059","Lowell Landes"
"5060","Philippe Leroy"
"5061","Ana Claudia Talancón"
"5062","Neil Gershenfeld"
"5063","Anwar Congo"
"5064","Wally Cox"
"5065","Kay Hammond"
"5066","Nick Prueher"
"5067","Seth Rogen"
"5068","Brenda Myers-Powell"
"5069","Kim Darby"
"5070","Ricky Adelayitor"
"5071","Jennifer Rubin"
"5072","Olivier Perrier"
"5073","Antoine Byrne"
"5074","Danny McCarthy"
"5075","Aml Ameen"
"5076","Alan Alda"
"5077","Terence Knox"
"5078","Lenny von Dohlen"
"5079","Supak Pititam"
"5080","Butch Patrick"
"5081","Dante"
"5082","Jim Metzler"
"5083","Macon Blair"
"5084","William Bassett"
"5085","Amina Annabi"
"5086","Boti Bliss"
"5087","Judd Hirsch"
"5088","Mildred Natwick"
"5089","Nyla McCarthy"
"5090","Fred Norris"
"5091","Enrico Lo Verso"
"5092","Jessica Tyler Brown"
"5093","Neil Flynn"
"5094","Bruce Balden"
"5095","David Janssen"
"5096","Yukie Kawamura"
"5097","Jonathan Race"
"5098","Kazuko Yoshiyuki"
"5099","Ned Dowd"
"5100","Michael Carr"
"5101","Jenny O'Hara"
"5102","Ranveer Singh"
"5103","Alec Newman"
"5104","Bella Riza"
"5105","Estelle Getty"
"5106","Cillian Murphy"
"5107","Finn Wolfhard"
"5108","Frank Moore"
"5109","Corinna Harfouch"
"5110","Tuncel Kurtiz"
"5111","Larry A. Thompson"
"5112","Audie England"
"5113","Bill Hunter"
"5114","Carly Schroeder"
"5115","Jérôme Deschamps"
"5116","Andrzej Blumenfeld"
"5117","Elaine Stritch"
"5118","Bob Williamson"
"5119","David Anthony Higgins"
"5120","Marion Mack"
"5121","Hanna Zaïdl"
"5122","Jonas Rimeika"
"5123","Nicole Berger"
"5124","Vivian Pickles"
"5125","Hossein Abedini"
"5126","Jennifer Garner"
"5127","Arielle Dombasle"
"5128","Chazz Palminteri"
"5129","Stephen Campbell Moore"
"5130","Adriana Mocca"
"5131","Jessica Alba"
"5132","Angus Scrimm"
"5133","Brandon Quinn"
"5134","Stanley Clayton"
"5135","Jay Baker"
"5136","Jonas Abry"
"5137","Peter Dvorsky"
"5138","Davenia McFadden"
"5139","Katie Schlossberg"
"5140","Gabrielle Rose"
"5141","Magda Szubanski"
"5142","Tokiko Katô"
"5143","Petr Cepek"
"5144","Hitoshi Ozawa"
"5145","Liza Minnelli"
"5146","Charlotte Frogner"
"5147","Don Cheadle"
"5148","Tobey Maguire"
"5149","Jean Marsh"
"5150","Arlene Dahl"
"5151","James Andrews"
"5152","Hilmir Snær Guðnason"
"5153","Starletta DuPois"
"5154","Arie Verveen"
"5155","Judith Ivey"
"5156","Holliday Grainger"
"5157","Vince McMahon"
"5158","Gustaf Hammarsten"
"5159","Jason Priestley"
"5160","Corey Parker"
"5161","Matiaz Bureau Caton"
"5162","Massi Mrowat"
"5163","André Ramiro"
"5164","Liesel Matthews"
"5165","Michel Serrault"
"5166","Aya Okamoto"
"5167","Abdullrahman Al Gohani"
"5168","Rachel Hurd-Wood"
"5169","Talulah Riley"
"5170","Paz de la Huerta"
"5171","Linda Zilliacus"
"5172","Gigi Reder"
"5173","Reginald Owen"
"5174","Rick Collins"
"5175","Naveen Andrews"
"5176","Liam Clancy"
"5177","Frédérique Meininger"
"5178","Inés Efron"
"5179","Richard Tyson"
"5180","Ceyda Düvenci"
